Event_ID,Event_start,Reaction_start,Impact,Event_end,Event_type,Crash_severity,Incident_type,Conflict_type,Narrative
151870548,0,1000,5500,6400,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151859510,0,2100,6200,6800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151859600,0,300,3500,4400,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
151582998,0,1100,2600,3800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
10556973,0,3700,5400,8200,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151856530,0,3600,4100,4300,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151569071,0,700,3500,3800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151865138,0,1100,2000,2100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151570852,0,600,1200,2000,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
61211857,0,5700,5400,8700,Crash,III  - Minor Crash,Road departure (left or right),Single vehicle conflict,
130475665,0,6400,7000,7200,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151859922,0,1100,5300,6000,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
61385893,0,2900,3500,4300,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
133754119,0,1000,1800,2700,Near-Crash,Not a Crash,Straight crossing path,Conflict with vehicle moving across another vehicle path (through intersection),
151569108,0,2000,3000,3400,Near-Crash,Not a Crash,Backing into traffic,Conflict with a lead vehicle,
2880462,0,2500,4200,5000,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
61386961,0,200,3100,3100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
36842961,0,1500,3300,3700,Near-Crash,Not a Crash,Turn across path,Conflict with vehicle turning across another vehicle path (opposite direction),
61432399,0,,2200,3900,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
61426761,0,600,1700,3700,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
10858442,0,400,2300,4500,Near-Crash,Not a Crash,Animal-related,Conflict with animal,"A vehicle nearly crashed after encountering an animal on the road. The incident occurred during daylight hours in a business or industrial area with no adverse weather conditions and a dry road surface. The traffic was flowing freely with no congestion, allowing vehicles to move without any lead traffic. Fortunately, the situation did not result in a full collision, but it was a close call that could have had serious consequences."
151093778,0,,1700,3300,Crash,III  - Minor Crash,Road departure (left or right),Single vehicle conflict,
61432361,0,1400,1800,2500,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
151856693,0,1700,2600,3300,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,"A near-crash occurred when two vehicles traveling in the same direction almost collided with each other in an adjacent lane. The incident was a sideswipe, where the vehicles nearly touched but managed to avoid a full collision. This happened during daylight hours on a dry road surface with no adverse weather conditions. The area was a business or industrial locality with moderate traffic flow, described as having some restrictions but still moving smoothly. Fortunately, no actual crash occurred, but it was a close call that could have resulted in damage or injury."
64646331,0,200,1700,2300,Near-Crash,Not a Crash,Turn across path,Conflict with vehicle turning across another vehicle path (opposite direction),
151568696,0,7300,7000,8600,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151581041,0,5000,6400,7000,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151854704,0,1900,2500,3100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151568527,0,2900,3900,8200,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
147359681,0,1700,5100,5800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151609056,0,2300,3100,3300,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
151862031,0,800,800,2100,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
35257212,0,2000,2900,4800,Crash,I - Most Severe,Turn across path,Conflict with vehicle turning across another vehicle path (opposite direction),
151862010,0,700,2700,3200,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
151864833,0,700,2000,2900,Near-Crash,Not a Crash,Turn across path,Conflict with vehicle turning across another vehicle path (opposite direction),
151570817,0,400,2500,3500,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151587812,0,400,1700,1700,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
61427030,0,1100,2100,3100,Near-Crash,Not a Crash,Straight crossing path,Conflict with vehicle moving across another vehicle path (through intersection),
151865121,0,600,1800,2600,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
132623327,0,3500,3300,4600,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
61426782,0,5700,6000,8500,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151865109,0,900,1500,2200,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with parked vehicle,
115730583,0,800,1100,2100,Near-Crash,Not a Crash,Pedalcyclist-related,Conflict with pedalcyclist,
64553422,0,900,1400,2700,Near-Crash,Not a Crash,Other,Conflict with parked vehicle,
151878923,0,300,1800,2200,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
135448582,0,1100,2200,6500,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
61386970,0,4000,5500,8700,Near-Crash,Not a Crash,Backing into traffic,Conflict with parked vehicle,
151591685,0,1500,3200,3200,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with merging vehicle,
61432338,0,200,3100,4000,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
151582980,0,2300,5000,5200,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
138268388,0,300,2300,3500,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with merging vehicle,
143062577,0,1700,5900,6500,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
61426984,0,6600,7400,8500,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151569693,0,2000,3400,4600,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151856713,0,100,1900,2300,Near-Crash,Not a Crash,Animal-related,Conflict with animal,
151878849,0,3900,4100,5700,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
61426809,0,3000,5000,6200,Near-Crash,Not a Crash,Straight crossing path,Conflict with vehicle moving across another vehicle path (through intersection),
151569057,0,1800,2500,3000,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
35258333,0,900,1700,1700,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
151545638,0,600,1600,3100,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
138361175,0,700,2400,3300,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
116162982,0,600,1600,5400,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151606784,0,400,900,1700,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
135449515,0,4000,5100,5400,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151865044,0,,700,1000,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151568477,0,900,2000,3100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
151573861,0,700,2000,2700,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151600571,0,300,2200,4400,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
151609108,0,1800,2300,3100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
135449522,0,700,3400,4000,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151589158,0,3100,4200,5800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
151568560,0,500,6000,6600,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
142030153,0,300,1700,4100,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151861984,0,400,3700,5200,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
151603223,0,1000,4000,6100,Near-Crash,Not a Crash,Animal-related,Conflict with animal,
142049755,0,600,1200,1900,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
151570840,0,,6200,7600,Crash,III  - Minor Crash,Road departure (left or right),Single vehicle conflict,
151573792,0,700,3100,3500,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
151565159,0,4500,5600,6300,Near-Crash,Not a Crash,Animal-related,Conflict with animal,
138591526,0,2400,3400,3900,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
151859543,0,1500,1900,3000,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151568973,0,200,1800,4700,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151864929,0,1800,2500,3500,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151565531,0,1000,4500,5800,Near-Crash,Not a Crash,Pedestrian-related,Conflict with pedestrian,
151569115,0,500,2600,4300,Near-Crash,Not a Crash,Straight crossing path,Conflict with vehicle moving across another vehicle path (through intersection),
135085990,0,100,1600,2700,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151573810,0,2100,2900,4400,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
64553430,0,400,2200,3000,Near-Crash,Not a Crash,Animal-related,Conflict with animal,
35258185,0,2700,3000,6500,Crash,I - Most Severe,Backing into traffic,Other,
151568678,0,,5500,7700,Crash,III  - Minor Crash,Road departure (end),Single vehicle conflict,
151856559,0,,2400,3700,Crash,IV - Low-risk Tire Strike,Road departure (end),Single vehicle conflict,
61427018,0,500,2700,3200,Near-Crash,Not a Crash,Straight crossing path,Conflict with vehicle moving across another vehicle path (through intersection),
151569265,0,0,600,1500,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
142007928,0,100,5200,5700,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
143288740,0,400,1500,2200,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
143108403,0,1400,2500,3100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
61432327,0,1600,2100,2600,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
61432387,0,100,2400,2900,Near-Crash,Not a Crash,Straight crossing path,Conflict with vehicle moving across another vehicle path (through intersection),
151565600,0,300,2100,3100,Near-Crash,Not a Crash,Straight crossing path,Conflict with vehicle moving across another vehicle path (through intersection),
151568674,0,1300,2000,3100,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
61432350,0,400,3800,4600,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
61211934,0,300,1000,1800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
61426825,0,100,2200,3400,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
61427028,0,2000,3900,5400,Near-Crash,Not a Crash,Backing into traffic,Conflict with parked vehicle,
132706055,0,5500,5800,6600,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
116147323,0,1200,2600,3000,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
35257213,0,500,1900,5700,Crash,I - Most Severe,Turn across path,Conflict with vehicle turning across another vehicle path (opposite direction),
138361957,0,2000,2900,4100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
76264663,0,4200,4100,5700,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151856555,0,1000,1300,1900,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
133753420,0,1000,2500,3100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
76264662,0,2400,2300,3500,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151598436,0,900,1600,2200,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
138351780,0,500,7400,7400,Near-Crash,Not a Crash,"Rear-end, struck",Conflict with a following vehicle,
61216942,0,5500,6500,9300,Crash,II - Police-reportable Crash,"Rear-end, struck",Conflict with a following vehicle,
151548878,0,,2400,3000,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151859769,0,700,1000,1700,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151586126,0,1500,3400,4300,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151549052,0,1600,1700,3000,Crash,I - Most Severe,Pedalcyclist-related,Conflict with pedalcyclist,
151549153,0,400,600,4300,Crash,II - Police-reportable Crash,Animal-related,Conflict with animal,
61385937,0,100,300,2800,Near-Crash,Not a Crash,Other,Conflict with parked vehicle,
143172932,0,900,3900,6100,Crash,II - Police-reportable Crash,"Rear-end, struck",Conflict with a following vehicle,
128888426,0,1100,2900,4800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151553179,0,,4900,6000,Crash,IV - Low-risk Tire Strike,Road departure (end),Single vehicle conflict,
151573878,0,5300,5400,6800,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151578537,0,2200,2800,3800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
134175108,0,1700,1200,3400,Near-Crash,Not a Crash,"Rear-end, struck",Conflict with vehicle in adjacent lane,
64553439,0,1200,3100,4300,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
61432334,0,2400,3000,3600,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
9886401,0,1800,3700,5200,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
61386976,0,2100,4500,5600,Near-Crash,Not a Crash,Pedestrian-related,Conflict with pedestrian,
151568725,0,900,5100,5800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
61216656,0,2000,1900,3200,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151568892,0,200,4300,5000,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
10858443,0,1400,2100,2400,Near-Crash,Not a Crash,Pedalcyclist-related,Conflict with pedalcyclist,
133753402,0,3700,3600,7200,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
134934599,0,1700,2500,3900,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151569062,0,3300,3800,4500,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with merging vehicle,
151611061,0,,5700,7000,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151573806,0,100,2600,3900,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151352291,0,,7600,8900,Crash,III  - Minor Crash,"Backing, fixed object",Conflict with obstacle/object in roadway,
135280160,0,1000,3100,8100,Near-Crash,Not a Crash,Animal-related,Conflict with animal,
61426785,0,600,4400,6400,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
151569135,0,1300,6200,6700,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151856646,0,1300,3400,4900,Near-Crash,Not a Crash,Turn across path,Conflict with vehicle turning across another vehicle path (opposite direction),
61216950,0,3200,3000,4500,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
61385934,0,2100,5400,6100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
150714460,0,100,3900,4500,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151591140,0,100,1900,2500,Near-Crash,Not a Crash,Pedestrian-related,Conflict with pedestrian,
61426958,0,500,1000,1800,Near-Crash,Not a Crash,Other,Conflict with parked vehicle,
142017441,0,500,2200,3700,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
131286507,0,1800,2300,3000,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151862623,0,200,1800,2200,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
116592038,0,,2300,4500,Crash,III  - Minor Crash,Other,Conflict with obstacle/object in roadway,
151595570,0,1000,2500,3500,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151574083,0,500,2600,3800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151570565,0,1700,4700,5200,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
151581055,0,900,1500,2400,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
135947114,0,1400,2400,3900,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
143293308,0,1600,2800,3300,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
151574093,0,700,1800,2800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
131785447,0,400,900,1600,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
60632621,0,100,1100,2400,Near-Crash,Not a Crash,Animal-related,Conflict with animal,
131846364,0,1400,5900,6100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
131846365,0,1000,2400,3500,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151865111,0,1600,2500,2700,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
138607557,0,3000,7700,8200,Near-Crash,Not a Crash,Straight crossing path,Conflict with vehicle moving across another vehicle path (through intersection),
132522482,0,1800,1600,3100,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
61432374,0,2700,3400,4400,Near-Crash,Not a Crash,Opposite direction (head-on or sideswipe),Conflict with oncoming traffic,
128906334,0,,1000,3500,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151859374,0,300,1100,1300,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
151569063,0,4700,5500,5700,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
61432322,0,2400,2800,4000,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
151859433,0,400,1600,2600,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151568619,0,1700,3400,3900,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151854731,0,800,1100,2400,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151586577,0,1800,2600,3700,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
61427007,0,400,1200,2000,Near-Crash,Not a Crash,Animal-related,Conflict with animal,
